,0
0,분노의 질주: 더 얼티메이트
1,크루엘라
2,파이프라인
3,스파이럴
4,극장판 귀멸의 칼날: 무한열차편
5,도라에몽: 스탠바이미 2
6,아미 오브 더 데드
7,보이저스
8,더 스파이
9,혼자 사는 사람들
10,비와 당신의 이야기
11,크루즈 패밀리: 뉴 에이지
12,노매드랜드
13,라이더스 오브 저스티스
14,미나리
15,내일의 기억
16,애플
17,아들의 이름으로
18,500일의 썸머
19,컨저링 3: 악마가 시켰다
20,굴뚝마을의 푸펠
21,내가 죽기를 바라는 자들
22,이터널스
23,인트로덕션
24,캐시트럭
25,쇼크 웨이브 2
26,아이들은 즐겁다
27,명탐정 코난: 비색의 탄환
28,범털2 : 쩐의 전쟁
29,베놈 2: 렛 데어 비 카니지
30,극장판 콩순이: 장난감나라 대모험
31,브리짓 존스의 일기
32,써니
33,자산어보
34,콰이어트 플레이스 2
35,내겐 너무 소중한 너
36,프로페서 앤 매드맨
37,발신제한
38,2067
39,인셉션
40,잭 스나이더의 저스티스 리그
41,썰
42,분노의 질주: 더 세븐
43,노바디 
44,범죄도시2
45,낙원의 밤
46,킬러의 보디가드 2
47,쿠사마 야요이: 무한의 세계
48,그린 북
49,어른들은 몰라요
